"Source","Target"
"Mudanai, S.","Novak, S."
"Mudanai, S.","Prasad, C."
"Mudanai, S.","Hicks, J."
"Novak, S.","Prasad, C."
"Novak, S.","Hicks, J."
"Prasad, C.","Hicks, J."
"Tapia, L.M.","Lpez, L."
"Tapia, L.M.","Ayala, C.P."
"Tapia, L.M.","Annosi, M.C."
"Lpez, L.","Ayala, C.P."
"Lpez, L.","Annosi, M.C."
"Ayala, C.P.","Annosi, M.C."
"Annosi, M.C.","Ayala, C.P."
"Granja, F.M.","Rodrguez, G."
"Tapia, L.M.","Ayala, C.P."
"Tapia, L.M.","Lpez, L."
"Ayala, C.P.","Lpez, L."
"Gamboa, S.","Sanchez, A."
"Gamboa, S.","Orduna, E."
"Sanchez, A.","Orduna, E."
"Morales, J.","Zhunio, L."
"Morales, J.","Patino, C."
"Morales, J.","Siavichay, F."
"Morales, J.","Montesdeoca, J."
"Morales, J.","Cabrai, R.J."
"Zhunio, L.","Patino, C."
"Zhunio, L.","Siavichay, F."
"Zhunio, L.","Montesdeoca, J."
"Zhunio, L.","Cabrai, R.J."
"Patino, C.","Siavichay, F."
"Patino, C.","Montesdeoca, J."
"Patino, C.","Cabrai, R.J."
"Siavichay, F.","Montesdeoca, J."
"Siavichay, F.","Cabrai, R.J."
"Montesdeoca, J.","Cabrai, R.J."
"Ortiz, P.S.C.","Dutan, B.R.N."
"Ortiz, P.S.C.","Jaramillo, L.G.T."
"Ortiz, P.S.C.","Avila-Campoverde, R.S."
"Ortiz, P.S.C.","Aleman, M.A.C."
"Ortiz, P.S.C.","Montesdeoca-Contreras, J.C."
"Ortiz, P.S.C.","Morales-Garcia, J.A."
"Dutan, B.R.N.","Jaramillo, L.G.T."
"Dutan, B.R.N.","Avila-Campoverde, R.S."
"Dutan, B.R.N.","Aleman, M.A.C."
"Dutan, B.R.N.","Montesdeoca-Contreras, J.C."
"Dutan, B.R.N.","Morales-Garcia, J.A."
"Jaramillo, L.G.T.","Avila-Campoverde, R.S."
"Jaramillo, L.G.T.","Aleman, M.A.C."
"Jaramillo, L.G.T.","Montesdeoca-Contreras, J.C."
"Jaramillo, L.G.T.","Morales-Garcia, J.A."
"Avila-Campoverde, R.S.","Aleman, M.A.C."
"Avila-Campoverde, R.S.","Montesdeoca-Contreras, J.C."
"Avila-Campoverde, R.S.","Morales-Garcia, J.A."
"Aleman, M.A.C.","Montesdeoca-Contreras, J.C."
"Aleman, M.A.C.","Morales-Garcia, J.A."
"Montesdeoca-Contreras, J.C.","Morales-Garcia, J.A."
"Montesdeoca-Contreras, J.C.","Zambrano-Abad, J.C."
"Montesdeoca-Contreras, J.C.","Morales-Garcia, J.A."
"Montesdeoca-Contreras, J.C.","vila-Campoverde, R.S."
"Zambrano-Abad, J.C.","Morales-Garcia, J.A."
"Zambrano-Abad, J.C.","vila-Campoverde, R.S."
"Morales-Garcia, J.A.","vila-Campoverde, R.S."
"vila-Campoverde, R.S.","Morales-Garcia, J.A."
"Jose, B.","Nicolas, M."
"Jose, B.","Danilo, C."
"Jose, B.","Eduardo, A."
"Nicolas, M.","Danilo, C."
"Nicolas, M.","Eduardo, A."
"Danilo, C.","Eduardo, A."
"Eduardo, A.","Danilo, C."
"Lara-Cueva, R.","Bentez, D."
"Lara-Cueva, R.","Caamao, A."
"Lara-Cueva, R.","Zennaro, M."
"Lara-Cueva, R.","Rojo-lvarez, J.L."
"Bentez, D.","Caamao, A."
"Bentez, D.","Zennaro, M."
"Bentez, D.","Rojo-lvarez, J.L."
"Caamao, A.","Zennaro, M."
"Caamao, A.","Rojo-lvarez, J.L."
"Zennaro, M.","Rojo-lvarez, J.L."
"Prez, M.-S.","Carrera, E.V."
"Restrepo, J.","Viola, J."
"Restrepo, J.","Quizhpi, F."
"Restrepo, J.","Ginart, A."
"Viola, J.","Quizhpi, F."
"Viola, J.","Ginart, A."
"Quizhpi, F.","Ginart, A."
"Ginart, A.","Quizhpi, F."
"Andaluz, V.H.","Ortiz, J.S."
"Andaluz, V.H.","Perez, M."
"Andaluz, V.H.","Roberti, F."
"Andaluz, V.H.","Carelli, R."
"Ortiz, J.S.","Perez, M."
"Ortiz, J.S.","Roberti, F."
"Ortiz, J.S.","Carelli, R."
"Perez, M.","Roberti, F."
"Perez, M.","Carelli, R."
"Roberti, F.","Carelli, R."
"Fricke-Galindo, I.","Jung-Cook, H."
"Fricke-Galindo, I.","Llerena, A."
"Fricke-Galindo, I.","Lpez-Lpez, M."
"Jung-Cook, H.","Llerena, A."
"Jung-Cook, H.","Lpez-Lpez, M."
"Llerena, A.","Lpez-Lpez, M."
"Lantsoght, E.O.L.","De Boer, A."
"Lantsoght, E.O.L.","Van Der Veen, C."
"De Boer, A.","Van Der Veen, C."
"Ochoa, X.","Worsley, M."
"Ochoa, X.","Chiluiza, K."
"Ochoa, X.","Luz, S."
"Worsley, M.","Chiluiza, K."
"Worsley, M.","Luz, S."
"Chiluiza, K.","Luz, S."
"Luz, S.","Chiluiza, K."
"Krosschell, J.","Li, Y."
"Krosschell, J.","Channegowda, P."
"Krosschell, J.","Gupta, M."
"Krosschell, J.","Venkataramanan, G."
"Li, Y.","Channegowda, P."
"Li, Y.","Gupta, M."
"Li, Y.","Venkataramanan, G."
"Channegowda, P.","Gupta, M."
"Channegowda, P.","Venkataramanan, G."
"Gupta, M.","Venkataramanan, G."
"Abubakar, M.B.","Gan, S.H."
"Prieto, L.P.","Sharma, K."
"Prieto, L.P.","Dillenbourg, P."
"Prieto, L.P.","Jess, M."
"Sharma, K.","Dillenbourg, P."
"Sharma, K.","Jess, M."
"Dillenbourg, P.","Jess, M."
"Jess, M.","Dillenbourg, P."
"Haider, F.","Cerrato, L."
"Haider, F.","Campbell, N."
"Haider, F.","Luz, S."
"Cerrato, L.","Campbell, N."
"Cerrato, L.","Luz, S."
"Campbell, N.","Luz, S."
"Luz, S.","Campbell, N."
"Navas, B.","berg, J."
"Navas, B.","Sander, I."
"berg, J.","Sander, I."
"Gordillo, R.X.","Romero, C.G."
"Gordillo, R.X.","Abasolo, S.E."
"Gordillo, R.X.","Carrera, M.A."
"Romero, C.G.","Abasolo, S.E."
"Romero, C.G.","Carrera, M.A."
"Abasolo, S.E.","Carrera, M.A."
"Carrera, M.A.","Abasolo, S.E."
"Tintin, R.A.","Troncoso, P.M.V."
"Tintin, R.A.","Carrin, M.V."
"Tintin, R.A.","Ros, J.C."
"Troncoso, P.M.V.","Carrin, M.V."
"Troncoso, P.M.V.","Ros, J.C."
"Carrin, M.V.","Ros, J.C."
"Ros, J.C.","Carrin, M.V."
"Rivera, R.","Jcome, S."
"Rivera, R.","Maldonado, F."
"Rivera, R.","Stashans, A."
"Jcome, S.","Maldonado, F."
"Jcome, S.","Stashans, A."
"Maldonado, F.","Stashans, A."
"Tintin, R.A.","Vela, M."
"Tintin, R.A.","Bravo, X."
"Tintin, R.A.","Anzules, V."
"Vela, M.","Bravo, X."
"Vela, M.","Anzules, V."
"Bravo, X.","Anzules, V."
"Anzules, V.","Bravo, X."
"Ingavlez-Guerra, P.","Lpez-Sojos, F."
"Ingavlez-Guerra, P.","Cabrera-Prieto, P."
"Ingavlez-Guerra, P.","Robles-Bykbaev, V."
"Lpez-Sojos, F.","Cabrera-Prieto, P."
"Lpez-Sojos, F.","Robles-Bykbaev, V."
"Cabrera-Prieto, P.","Robles-Bykbaev, V."
"Carrillo, B.","Chamorro, S."
"Montero, A.","Naranjo-Mendoza, C."
"Montero, A.","Lpez-Villada, J."
"Montero, A.","Labus, J."
"Naranjo-Mendoza, C.","Lpez-Villada, J."
"Naranjo-Mendoza, C.","Labus, J."
"Lpez-Villada, J.","Labus, J."
"Mndez, G.","Ochoa, X."
"Mndez, G.","Chiluiza, K."
"Ochoa, X.","Chiluiza, K."
"Eduardo, P.","Xavier, M."
"Naranjo-Mendoza, C.","Gaona, G."
"Naranjo-Mendoza, C.","Lpez-Villada, J."
"Naranjo-Mendoza, C.","Labus, J."
"Gaona, G.","Lpez-Villada, J."
"Gaona, G.","Labus, J."
"Lpez-Villada, J.","Labus, J."
"Jarrin, J.","Bernal, P."
"Jarrin, J.","Lara-Cueva, R."
"Bernal, P.","Lara-Cueva, R."
"Castellan, W.","Bonacossa, G."
"Castellan, W.","Bustos, I."
"Bonacossa, G.","Bustos, I."
"Veln, K.","De La Torre, E."
"Veln, K.","Guevara, A."
"De La Torre, E.","Guevara, A."
"Ramirez, A.D.","Torres, D."
"Ramirez, A.D.","Pea, P."
"Ramirez, A.D.","Duque-Rivera, J."
"Torres, D.","Pea, P."
"Torres, D.","Duque-Rivera, J."
"Pea, P.","Duque-Rivera, J."
"Melgarejo, R.","Cadena, P."
"Pinos, E.","Illescas, M."
"Pinos, E.","Tapia, D."
"Illescas, M.","Tapia, D."
"Arvalo, F.","Cordova, M."
"Arvalo, F.","Quizhpi, F."
"Arvalo, F.","Vivar, M."
"Cordova, M.","Quizhpi, F."
"Cordova, M.","Vivar, M."
"Quizhpi, F.","Vivar, M."
"Vivar, M.","Quizhpi, F."
"Diego Guacho, M.","Rivadeneira, F.M."
"Cepeda, J.","Echeverra, D."
"Cepeda, J.","Argello, G."
"Echeverra, D.","Argello, G."
"Arevalo, L.A.C.","Medina, P.J.G."
"Arevalo, L.A.C.","Ortiz, P.F.U."
"Medina, P.J.G.","Ortiz, P.F.U."
"Vega-Prez, A.R.","Banda-Gamboa, H.A."
"Vega-Prez, A.R.","Costa-Vera, C."
"Banda-Gamboa, H.A.","Costa-Vera, C."
"Vlez, P.","Gallegos, K."
"Vlez, P.","Silva, J."
"Vlez, P.","Tumalli, L."
"Vlez, P.","Vaca, C."
"Gallegos, K.","Silva, J."
"Gallegos, K.","Tumalli, L."
"Gallegos, K.","Vaca, C."
"Silva, J.","Tumalli, L."
"Silva, J.","Vaca, C."
"Tumalli, L.","Vaca, C."
"Goode, W.","Caicedo, G."
"Nader, R.","Carrion, H."
"Nader, R.","Uriguen, M."
"Carrion, H.","Uriguen, M."
"Torres, M.D.","Vacas, C.S."
"Torres, M.D.","Altamirano, C.D."
"Torres, M.D.","Bernal, C.P."
"Vacas, C.S.","Altamirano, C.D."
"Vacas, C.S.","Bernal, C.P."
"Altamirano, C.D.","Bernal, C.P."
"Heredia, R.M.","Vinueza, P.C."
"Chavez-Burbano, P.","Marin-Garcia, I."
"Chavez-Burbano, P.","Muoz-Arcentales, A."
"Marin-Garcia, I.","Muoz-Arcentales, A."
"Marquez, M.D.","Lara, R.A."
"Marquez, M.D.","Gordillo, R.X."
"Lara, R.A.","Gordillo, R.X."
"Haider, F.","Cerrato, L."
"Haider, F.","Campbell, N."
"Haider, F.","Luz, S."
"Cerrato, L.","Campbell, N."
"Cerrato, L.","Luz, S."
"Campbell, N.","Luz, S."
"Luz, S.","Campbell, N."
"Danilo Jaramillo, H.","Jackeline Palacios, A."
"Echeverra, V.","Domnguez, F."
"Echeverra, V.","Chiluiza, K."
"Domnguez, F.","Chiluiza, K."
"Lee, H.R.","abanovi, S."
"Lee, H.R.","Stolterman, E."
"abanovi, S.","Stolterman, E."
"Cen, L.","Ruta, D."
"Cen, L.","Powell, L."
"Cen, L.","Hirsch, B."
"Cen, L.","Ng, J."
"Ruta, D.","Powell, L."
"Ruta, D.","Hirsch, B."
"Ruta, D.","Ng, J."
"Powell, L.","Hirsch, B."
"Powell, L.","Ng, J."
"Hirsch, B.","Ng, J."
"Cancela, J.","Geys, B."
"Yamasaki, T.","Fukushima, Y."
"Yamasaki, T.","Furuta, R."
"Yamasaki, T.","Sun, L."
"Yamasaki, T.","Aizawa, K."
"Yamasaki, T.","Bollegala, D."
"Fukushima, Y.","Furuta, R."
"Fukushima, Y.","Sun, L."
"Fukushima, Y.","Aizawa, K."
"Fukushima, Y.","Bollegala, D."
"Furuta, R.","Sun, L."
"Furuta, R.","Aizawa, K."
"Furuta, R.","Bollegala, D."
"Sun, L.","Aizawa, K."
"Sun, L.","Bollegala, D."
"Aizawa, K.","Bollegala, D."
"Worsley, M.","Chiluiza, K."
"Worsley, M.","Grafsgaard, J.F."
"Worsley, M.","Ochoa, X."
"Chiluiza, K.","Grafsgaard, J.F."
"Chiluiza, K.","Ochoa, X."
"Grafsgaard, J.F.","Ochoa, X."
"Ochoa, X.","Grafsgaard, J.F."
"Haider, F.","Cerrato, L."
"Haider, F.","Campbell, N."
"Haider, F.","Luz, S."
"Cerrato, L.","Campbell, N."
"Cerrato, L.","Luz, S."
"Campbell, N.","Luz, S."
"Luz, S.","Campbell, N."
"Piromalis, D.","Arvanitis, K."
"Echeverra, V.","Domnguez, F."
"Echeverra, V.","Chiluiza, K."
"Domnguez, F.","Chiluiza, K."
"Guayanlema, V.","Espinoza, S."
"Guayanlema, V.","Ramirez, A.D."
"Guayanlema, V.","Nez, A."
"Espinoza, S.","Ramirez, A.D."
"Espinoza, S.","Nez, A."
"Ramirez, A.D.","Nez, A."
"Correa, A.G.","Fortes, J.M."
"Lozada, P.E.","Arredondo, T.V."
"Lozada, P.E.","Jimnez, C.N."
"Arredondo, T.V.","Jimnez, C.N."
"Rodriguez, L.","Pez, J."
"Rodriguez, L.","Granizo, E."
"Rodriguez, L.","Paz, J.L."
"Rodriguez, L.","Crdenas-Garca, J.F."
"Rodriguez, L.","Costa, C."
"Pez, J.","Granizo, E."
"Pez, J.","Paz, J.L."
"Pez, J.","Crdenas-Garca, J.F."
"Pez, J.","Costa, C."
"Granizo, E.","Paz, J.L."
"Granizo, E.","Crdenas-Garca, J.F."
"Granizo, E.","Costa, C."
"Paz, J.L.","Crdenas-Garca, J.F."
"Paz, J.L.","Costa, C."
"Crdenas-Garca, J.F.","Costa, C."
"Restrepo, J.","Viola, J."
"Restrepo, J.","Quizhpi, F."
"Viola, J.","Quizhpi, F."
"Pez-Rosas, D.","Aurioles-Gamboa, D."
"Solberg, M.","Nader, R."
"Freire, W.B.","Silva-Jaramillo, K.M."
"Freire, W.B.","Ramirez-Luzuriaga, M.J."
"Freire, W.B.","Belmont, P."
"Freire, W.B.","Waters, W.F."
"Silva-Jaramillo, K.M.","Ramirez-Luzuriaga, M.J."
"Silva-Jaramillo, K.M.","Belmont, P."
"Silva-Jaramillo, K.M.","Waters, W.F."
"Ramirez-Luzuriaga, M.J.","Belmont, P."
"Ramirez-Luzuriaga, M.J.","Waters, W.F."
"Belmont, P.","Waters, W.F."
"Pazmio, I.C.","Muoz, G.A."
"Pazmio, I.C.","Ayala, D.K."
"Pazmio, I.C.","Espinosa, P.A."
"Pazmio, I.C.","Velsquez, P.C."
"Muoz, G.A.","Ayala, D.K."
"Muoz, G.A.","Espinosa, P.A."
"Muoz, G.A.","Velsquez, P.C."
"Ayala, D.K.","Espinosa, P.A."
"Ayala, D.K.","Velsquez, P.C."
"Espinosa, P.A.","Velsquez, P.C."
"Prez, M.S.","Carrera, E.V."
"Soriano, G.","Bravo, G."
"Soriano, G.","Guevara, P."
"Soriano, G.","Porras, F."
"Bravo, G.","Guevara, P."
"Bravo, G.","Porras, F."
"Guevara, P.","Porras, F."
"Davis, M.M.","Cevallos, R.F.R."
"Morales, G.R.","Carrin, S.C."
"Morales, G.R.","Granda, M.V."
"Carrin, S.C.","Granda, M.V."
"Saquicela, V.","Espinoza-Meja, M."
"Saquicela, V.","Palacio, K."
"Saquicela, V.","Albn, H."
"Espinoza-Meja, M.","Palacio, K."
"Espinoza-Meja, M.","Albn, H."
"Palacio, K.","Albn, H."
"Albn, H.","Palacio, K."
"Carvallo, J.P.","Franch, X."
"D'Haro, L.F.","Cordoba, R."
"D'Haro, L.F.","Salamea, C."
"D'Haro, L.F.","Ferreiros, J."
"Cordoba, R.","Salamea, C."
"Cordoba, R.","Ferreiros, J."
"Salamea, C.","Ferreiros, J."
"Ferreiros, J.","Salamea, C."
"Muoz, G.A.","Pazmio, I.C."
"Muoz, G.A.","Ayala, D.K."
"Muoz, G.A.","Espinosa, P.A."
"Muoz, G.A.","Velsquez, P.C."
"Pazmio, I.C.","Ayala, D.K."
"Pazmio, I.C.","Espinosa, P.A."
"Pazmio, I.C.","Velsquez, P.C."
"Ayala, D.K.","Espinosa, P.A."
"Ayala, D.K.","Velsquez, P.C."
"Espinosa, P.A.","Velsquez, P.C."
"Carrera, E.V.","Perez, M.S."
"Pez-Rosas, D.","Rodrguez-Prez, M."
"Pez-Rosas, D.","Riofro-Lazo, M."
"Rodrguez-Prez, M.","Riofro-Lazo, M."
"Drago, M.","Franco-Trecu, V."
"Drago, M.","Cardona, L."
"Drago, M.","Inchausti, P."
"Drago, M.","Tapia, W."
"Drago, M.","Pez-Rosas, D."
"Franco-Trecu, V.","Cardona, L."
"Franco-Trecu, V.","Inchausti, P."
"Franco-Trecu, V.","Tapia, W."
"Franco-Trecu, V.","Pez-Rosas, D."
"Cardona, L.","Inchausti, P."
"Cardona, L.","Tapia, W."
"Cardona, L.","Pez-Rosas, D."
"Inchausti, P.","Tapia, W."
"Inchausti, P.","Pez-Rosas, D."
"Tapia, W.","Pez-Rosas, D."
"Evans, P.G.H.","Anderwald, P."
"Evans, P.G.H.","Wright, A.J."
"Anderwald, P.","Wright, A.J."
"Rachmi, C.N.","Agho, K.E."
"Rachmi, C.N.","Li, M."
"Rachmi, C.N.","Baur, L.A."
"Agho, K.E.","Li, M."
"Agho, K.E.","Baur, L.A."
"Li, M.","Baur, L.A."
"Tzioumis, E.","Kay, M.C."
"Tzioumis, E.","Bentley, M.E."
"Tzioumis, E.","Adair, L.S."
"Kay, M.C.","Bentley, M.E."
"Kay, M.C.","Adair, L.S."
"Bentley, M.E.","Adair, L.S."
"Traissac, P.","El Ati, J."
"Traissac, P.","Gartner, A."
"Traissac, P.","Ben Gharbia, H."
"Traissac, P.","Delpeuch, F."
"El Ati, J.","Gartner, A."
"El Ati, J.","Ben Gharbia, H."
"El Ati, J.","Delpeuch, F."
"Gartner, A.","Ben Gharbia, H."
"Gartner, A.","Delpeuch, F."
"Ben Gharbia, H.","Delpeuch, F."
"Soriano, G.","Siguenza, D."
"Rodrguez-Fuentes, L.J.","Penagarikano, M."
"Rodrguez-Fuentes, L.J.","Varona, A."
"Rodrguez-Fuentes, L.J.","Diez, M."
"Rodrguez-Fuentes, L.J.","Bordel, G."
"Penagarikano, M.","Varona, A."
"Penagarikano, M.","Diez, M."
"Penagarikano, M.","Bordel, G."
"Varona, A.","Diez, M."
"Varona, A.","Bordel, G."
"Diez, M.","Bordel, G."
"Drago, M.","Franco-Trecu, V."
"Drago, M.","Cardona, L."
"Drago, M.","Inchausti, P."
"Franco-Trecu, V.","Cardona, L."
"Franco-Trecu, V.","Inchausti, P."
"Cardona, L.","Inchausti, P."
"Hopper, G.W.","Tobler, M."
"Berta, A.","Sumich, J.L."
"Berta, A.","Kovacs, K.M."
"Sumich, J.L.","Kovacs, K.M."
"Beltran, R.S.","Peterson, S.H."
"Beltran, R.S.","McHuron, E.A."
"Beltran, R.S.","Reichmuth, C."
"Beltran, R.S.","Hckstdt, L.A."
"Beltran, R.S.","Costa, D.P."
"Peterson, S.H.","McHuron, E.A."
"Peterson, S.H.","Reichmuth, C."
"Peterson, S.H.","Hckstdt, L.A."
"Peterson, S.H.","Costa, D.P."
"McHuron, E.A.","Reichmuth, C."
"McHuron, E.A.","Hckstdt, L.A."
"McHuron, E.A.","Costa, D.P."
"Reichmuth, C.","Hckstdt, L.A."
"Reichmuth, C.","Costa, D.P."
"Hckstdt, L.A.","Costa, D.P."
"Ponce-Zambrano, M.R.","Gordn, D.P."
"Ponce-Zambrano, M.R.","Alejano, L.R."
"Ponce-Zambrano, M.R.","Prez-Rey, I."
"Gordn, D.P.","Alejano, L.R."
"Gordn, D.P.","Prez-Rey, I."
"Alejano, L.R.","Prez-Rey, I."
"Rodriguez, G.","Cueva, S."
"Rodriguez, G.","Feijoo, L."
"Rodriguez, G.","Gallego, O.M."
"Cueva, S.","Feijoo, L."
"Cueva, S.","Gallego, O.M."
"Feijoo, L.","Gallego, O.M."
"Gallego, O.M.","Feijoo, L."
"Henrquez, M.C.G.","Almonacid, R.A."
"Peralta-Sevilla, A.G.","Amaya-Fernandez, F."
"Peralta-Sevilla, A.G.","Hincapie, R."
"Amaya-Fernandez, F.","Hincapie, R."
"Quevedo, L.F.","Quizhpi, F.A."
"Quevedo, L.F.","Morales, J.A."
"Quevedo, L.F.","Cabral, R.J."
"Quevedo, L.F.","Bretas, A.S."
"Quizhpi, F.A.","Morales, J.A."
"Quizhpi, F.A.","Cabral, R.J."
"Quizhpi, F.A.","Bretas, A.S."
"Morales, J.A.","Cabral, R.J."
"Morales, J.A.","Bretas, A.S."
"Cabral, R.J.","Bretas, A.S."
"Barzola, J.","Rubini, L."
"Inga, E.","Arevalo, G."
"Inga, E.","Hincapie, R."
"Arevalo, G.","Hincapie, R."
"Solrzano lava, L.F.","Martini Robles, L."
"Solrzano lava, L.F.","Hernndez lvarez, H."
"Solrzano lava, L.F.","Sarracent Prez, J."
"Solrzano lava, L.F.","Muzzio Aroca, J."
"Solrzano lava, L.F.","Rojas Rivero, L."
"Martini Robles, L.","Hernndez lvarez, H."
"Martini Robles, L.","Sarracent Prez, J."
"Martini Robles, L.","Muzzio Aroca, J."
"Martini Robles, L.","Rojas Rivero, L."
"Hernndez lvarez, H.","Sarracent Prez, J."
"Hernndez lvarez, H.","Muzzio Aroca, J."
"Hernndez lvarez, H.","Rojas Rivero, L."
"Sarracent Prez, J.","Muzzio Aroca, J."
"Sarracent Prez, J.","Rojas Rivero, L."
"Muzzio Aroca, J.","Rojas Rivero, L."
"Palou, L.","Prez-Gago, M.B."
"Palou, L.","Valencia-Chamorro, S.A."
"Prez-Gago, M.B.","Valencia-Chamorro, S.A."
"Ros, P.","Corts, S."
"Ros, P.","Villarroel, L."
"Ros, P.","Ferreccio, C."
"Corts, S.","Villarroel, L."
"Corts, S.","Ferreccio, C."
"Villarroel, L.","Ferreccio, C."
"Piedra, N.","Chicaiza, J."
"Piedra, N.","Lpez, J."
"Piedra, N.","Tovar Caro, E."
"Chicaiza, J.","Lpez, J."
"Chicaiza, J.","Tovar Caro, E."
"Lpez, J.","Tovar Caro, E."
"Tovar Caro, E.","Lpez, J."
"Lozada, P.","Arredondo, T."
"Lozada, P.","Jimenez, C."
"Arredondo, T.","Jimenez, C."
"Tran, T.-D.","Nunes, D."
"Tran, T.-D.","Herrera, C."
"Tran, T.-D.","Silva, J.S."
"Nunes, D.","Herrera, C."
"Nunes, D.","Silva, J.S."
"Herrera, C.","Silva, J.S."
"Silva, J.S.","Herrera, C."
"Vanegas, P.","Peeters, J.R."
"Vanegas, P.","Plessers, F."
"Vanegas, P.","Cattrysse, D."
"Vanegas, P.","Duflou, J.R."
"Peeters, J.R.","Plessers, F."
"Peeters, J.R.","Cattrysse, D."
"Peeters, J.R.","Duflou, J.R."
"Plessers, F.","Cattrysse, D."
"Plessers, F.","Duflou, J.R."
"Cattrysse, D.","Duflou, J.R."
"Novillo, C.","Guaya, D."
"Novillo, C.","Allen-Perkins Avendao, A."
"Novillo, C.","Armijos, C."
"Novillo, C.","Cortina, J.L."
"Novillo, C.","Cota, I."
"Guaya, D.","Allen-Perkins Avendao, A."
"Guaya, D.","Armijos, C."
"Guaya, D.","Cortina, J.L."
"Guaya, D.","Cota, I."
"Allen-Perkins Avendao, A.","Armijos, C."
"Allen-Perkins Avendao, A.","Cortina, J.L."
"Allen-Perkins Avendao, A.","Cota, I."
"Armijos, C.","Cortina, J.L."
"Armijos, C.","Cota, I."
"Cortina, J.L.","Cota, I."
"Loor, M.","De Tr, G."
"Di Massa, G.","Moreno, H.O."
"Di Massa, G.","Costanzo, S."
"Moreno, H.O.","Costanzo, S."
"Kristoffersen, M.S.","Dueholm, J.V."
"Kristoffersen, M.S.","Gade, R."
"Kristoffersen, M.S.","Moeslund, T.B."
"Dueholm, J.V.","Gade, R."
"Dueholm, J.V.","Moeslund, T.B."
"Gade, R.","Moeslund, T.B."
"Moeslund, T.B.","Gade, R."
"Jung, J.","Zhao, Y."
"Piedra, N.","Chicaiza, J."
"Piedra, N.","Lpez, J."
"Piedra, N.","Tovar, E."
"Chicaiza, J.","Lpez, J."
"Chicaiza, J.","Tovar, E."
"Lpez, J.","Tovar, E."
"Tovar, E.","Lpez, J."
"Piedra, N.","Chicaiza, J."
"Piedra, N.","Lpez, J."
"Piedra, N.","Tovar Caro, E."
"Chicaiza, J.","Lpez, J."
"Chicaiza, J.","Tovar Caro, E."
"Lpez, J.","Tovar Caro, E."
"Tovar Caro, E.","Lpez, J."
"Rodrguez-Sevillano, A.A.","Barcala-Montejano, M.A."
"Rodrguez-Sevillano, A.A.","Tovar-Caro, E."
"Rodrguez-Sevillano, A.A.","Lpez-Gallego, P."
"Barcala-Montejano, M.A.","Tovar-Caro, E."
"Barcala-Montejano, M.A.","Lpez-Gallego, P."
"Tovar-Caro, E.","Lpez-Gallego, P."
"Peeters, J.R.","Vanegas, P."
"Peeters, J.R.","Van Den Bossche, W."
"Peeters, J.R.","Devoldere, T."
"Peeters, J.R.","Dewulf, W."
"Peeters, J.R.","Duflou, J.R."
"Vanegas, P.","Van Den Bossche, W."
"Vanegas, P.","Devoldere, T."
"Vanegas, P.","Dewulf, W."
"Vanegas, P.","Duflou, J.R."
"Van Den Bossche, W.","Devoldere, T."
"Van Den Bossche, W.","Dewulf, W."
"Van Den Bossche, W.","Duflou, J.R."
"Devoldere, T.","Dewulf, W."
"Devoldere, T.","Duflou, J.R."
"Dewulf, W.","Duflou, J.R."
"Khitous, M.","Salem, Z."
"Khitous, M.","Halliche, D."
"Salem, Z.","Halliche, D."
"Everaert, M.","Warrinnier, R."
"Everaert, M.","Baken, S."
"Everaert, M.","Gustafsson, J.-P."
"Everaert, M.","De Vos, D."
"Everaert, M.","Smolders, E."
"Warrinnier, R.","Baken, S."
"Warrinnier, R.","Gustafsson, J.-P."
"Warrinnier, R.","De Vos, D."
"Warrinnier, R.","Smolders, E."
"Baken, S.","Gustafsson, J.-P."
"Baken, S.","De Vos, D."
"Baken, S.","Smolders, E."
"Gustafsson, J.-P.","De Vos, D."
"Gustafsson, J.-P.","Smolders, E."
"De Vos, D.","Smolders, E."
"Loor, M.","De Tr, G."
"Peeters, J.R.","Vanegas, P."
"Peeters, J.R.","Kellens, K."
"Peeters, J.R.","Wang, F."
"Peeters, J.R.","Huisman, J."
"Peeters, J.R.","Dewulf, W."
"Peeters, J.R.","Duflou, J.R."
"Vanegas, P.","Kellens, K."
"Vanegas, P.","Wang, F."
"Vanegas, P.","Huisman, J."
"Vanegas, P.","Dewulf, W."
"Vanegas, P.","Duflou, J.R."
"Kellens, K.","Wang, F."
"Kellens, K.","Huisman, J."
"Kellens, K.","Dewulf, W."
"Kellens, K.","Duflou, J.R."
"Wang, F.","Huisman, J."
"Wang, F.","Dewulf, W."
"Wang, F.","Duflou, J.R."
"Huisman, J.","Dewulf, W."
"Huisman, J.","Duflou, J.R."
"Dewulf, W.","Duflou, J.R."
"Alonso Movilla, N.","Zwolinski, P."
"Alonso Movilla, N.","Dewulf, J."
"Alonso Movilla, N.","Mathieux, F."
"Zwolinski, P.","Dewulf, J."
"Zwolinski, P.","Mathieux, F."
"Dewulf, J.","Mathieux, F."
"Lu, Y.","Xu, Z."
"Zeng, X.","Gong, R."
"Zeng, X.","Chen, W.-Q."
"Zeng, X.","Li, J."
"Gong, R.","Chen, W.-Q."
"Gong, R.","Li, J."
"Chen, W.-Q.","Li, J."
"Zeng, X.","Li, J."
"Dutta, T.","Kim, K.-H."
"Dutta, T.","Uchimiya, M."
"Dutta, T.","Kwon, E.E."
"Dutta, T.","Jeon, B.-H."
"Dutta, T.","Deep, A."
"Dutta, T.","Yun, S.-T."
"Kim, K.-H.","Uchimiya, M."
"Kim, K.-H.","Kwon, E.E."
